"Marca temporal","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría"
"2024/05/16 1:39:01 p. m. EEST","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo"
"2024/05/16 1:40:53 p. m. EEST","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo"
"2024/05/16 2:05:17 p. m. EEST","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo"
"2024/05/16 3:31:59 p. m. EEST","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo"
"2024/05/16 3:34:19 p. m. EEST","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo"
"2024/05/16 4:01:39 p. m. EEST","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo"
"2024/05/16 4:40:52 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo"
"2024/05/16 5:17:45 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo"
"2024/05/16 5:50:57 p. m. EEST","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo"
"2024/05/16 6:30:38 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo"
